ID,LIMIT_BAL,EDUCATION,MARRIAGE,AGE,default,SEX_M,delay_count,last,max,pay_slope,last_ratio,delta_ratio,std_ratio,max_jump,cum_slope,last_3_slope
1.0,20000.0,2.0,2.0,24.0,1.0,False,2.0,2.0,2.0,-0.45714285714285724,,,,,,
2.0,120000.0,2.0,1.0,26.0,1.0,False,2.0,0.0,2.0,0.11428571428571419,,,,,,
3.0,90000.0,2.0,1.0,34.0,0.0,False,0.0,0.0,0.0,0.0,,,,,,
4.0,50000.0,2.0,2.0,37.0,0.0,False,0.0,0.0,0.0,0.0,,,,,,
5.0,50000.0,2.0,2.0,57.0,0.0,True,0.0,0.0,0.0,0.0,,,,,,
6.0,50000.0,3.0,1.0,37.0,0.0,True,0.0,0.0,0.0,0.0,,,,,,
7.0,500000.0,3.0,1.0,29.0,0.0,True,0.0,0.0,0.0,0.0,,,,,,
8.0,100000.0,2.0,1.0,23.0,0.0,False,0.0,0.0,0.0,0.0,,,,,,
9.0,140000.0,1.0,2.0,28.0,0.0,False,1.0,0.0,2.0,-0.05714285714285712,,,,,,
10.0,20000.0,1.0,1.0,35.0,0.0,True,0.0,0.0,0.0,0.0,,,,,,
11.0,200000.0,1.0,1.0,34.0,0.0,False,1.0,0.0,2.0,-0.05714285714285712,,,,,,
12.0,260000.0,3.0,1.0,51.0,0.0,False,1.0,0.0,2.0,0.2857142857142856,,,,,,
13.0,630000.0,2.0,1.0,41.0,0.0,False,0.0,0.0,0.0,0.0,,,,,,
14.0,70000.0,2.0,1.0,30.0,1.0,True,4.0,1.0,2.0,-0.08571428571428581,,,,,,
15.0,250000.0,3.0,1.0,29.0,0.0,True,0.0,0.0,0.0,0.0,,,,,,
16.0,50000.0,1.0,3.0,23.0,0.0,False,2.0,1.0,2.0,-0.3142857142857141,,,,,,
17.0,20000.0,3.0,1.0,24.0,1.0,True,4.0,0.0,2.0,0.45714285714285724,,,,,,
18.0,320000.0,3.0,2.0,49.0,0.0,True,0.0,0.0,0.0,0.0,,,,,,
19.0,360000.0,3.0,2.0,49.0,0.0,False,1.0,1.0,1.0,-0.1428571428571429,,,,,,
20.0,180000.0,3.0,1.0,29.0,0.0,False,1.0,1.0,1.0,-0.1428571428571429,,,,,,
21.0,130000.0,1.0,1.0,39.0,0.0,False,0.0,0.0,0.0,0.0,,,,,,
22.0,120000.0,2.0,2.0,39.0,1.0,False,0.0,0.0,0.0,0.0,,,,,,
23.0,70000.0,2.0,1.0,26.0,1.0,False,4.0,2.0,2.0,0.22857142857142848,,,,,,
24.0,450000.0,3.0,2.0,40.0,1.0,False,0.0,0.0,0.0,0.0,,,,,,
25.0,90000.0,3.0,1.0,23.0,0.0,True,0.0,0.0,0.0,0.0,,,,,,
26.0,50000.0,1.0,1.0,23.0,0.0,True,0.0,0.0,0.0,0.0,,,,,,
27.0,60000.0,3.0,1.0,27.0,1.0,True,1.0,1.0,1.0,-0.1428571428571429,,,,,,
28.0,50000.0,1.0,1.0,30.0,0.0,False,0.0,0.0,0.0,0.0,,,,,,
